Temp, Energy, Mag_Sq, Energy_Sq, Err_E, Err_E_Sq, Err_Mag_Sq, Mag_Frth
2,-111.907,3457.18,12701.5,0.143032,7.8042,30.8631,1.23634e+07
2.05,-109.025,3305.58,12113,0.256529,17.8322,47.9215,1.15365e+07
2.1,-106.824,3215.82,11661.6,0.147448,5.12728,30.8322,1.10027e+07
2.15,-103.411,3056.72,10982.6,0.365993,19.8067,67.0219,1.01282e+07
2.2,-100.071,2883.01,10347.3,0.198391,14.1502,33.3604,9.28047e+06
2.25,-96.7648,2712.35,9729.31,0.393278,28.3111,65.8576,8.44865e+06
2.3,-93.2856,2538.33,9100.1,0.138521,14.1271,24.1582,7.65837e+06
2.35,-88.6736,2293.5,8291.22,0.503041,29.0938,84.5933,6.60236e+06
2.4,-85.3432,2129.08,7712.02,0.386499,20.6596,60.6922,5.86453e+06
2.45,-81.9816,1971.14,7157.03,0.299059,18.5945,53.1442,5.21514e+06
2.5,-78.3224,1786.5,6582.08,0.0971975,5.64096,15.6203,4.53861e+06
