Temp, Energy, Mag_Sq, Energy_Sq, Err_E, Err_E_Sq, Err_Mag_Sq, Mag_Frth
2,-251.214,17316.4,63535.6,0.399851,39.3989,197.727,3.05924e+08
2.05,-245.792,16664.7,60914.8,0.397238,61.2945,194.967,2.86349e+08
2.1,-239.205,15921.4,57824.3,0.378729,66.4443,168.616,2.64119e+08
2.15,-231.922,15017.9,54484.7,0.351765,59.4353,158.003,2.39657e+08
2.2,-222.841,13742.3,50537,0.728089,136.368,295.108,2.09108e+08
2.25,-214.561,12657.1,47021,0.794045,157.944,329.902,1.83e+08
2.3,-202.553,10831.5,42103.5,0.403999,80.1207,167.476,1.44751e+08
2.35,-193.302,9602.67,38431.9,0.606975,120.989,231.1,1.19885e+08
2.4,-183.865,8222.94,34888.1,0.593305,80.8991,210.605,9.52092e+07
2.45,-175.735,7255.85,31977,0.373597,79.1954,134.286,7.87822e+07
2.5,-166.204,5895.85,28607.5,0.554533,109.908,185.229,5.74231e+07
