M,E0,E1
5,-3.69494,-2.05258
10,-4.5122,-3.42539
15,-4.51541,-4.0916
20,-4.51545,-4.09218
25,-4.51545,-4.09221
30,-4.51545,-4.09221
35,-4.51545,-4.09221
40,-4.51545,-4.09221
45,-4.51545,-4.09221
50,-4.51545,-4.51461
